supermarket,unit_price,unit,names,date,category,own_brand,ASDA_price,Morrisons_price,Tesco_price
Sains,88.3,kg,Kiddylicious Banana & Pumpkin Melty Buttons,20240129,baby_products,False,73.3,73.3,116.67
Sains,3.0,l,Monster Energy Drink,20240129,food_cupboard,False,2.4,3.6,3.25
Sains,14.5,kg,Wagamama Katsu Curry Meal Kit,20240129,food_cupboard,False,11.3,15.8,18.42
Sains,7.0,kg,Bonne Maman Peach Conserve,20240129,free-from,False,9.2,8.9,9.6
Sains,10.0,kg,Pringles Original Sharing Crisps,20240129,food_cupboard,False,12.2,12.2,11.7
Sains,2.8,l,Tiger Energy Drink,20240129,food_cupboard,False,2.6,3.2,2.8
Sains,7.4,kg,Dorset Cereals Oat Granola Breakfast Cereal,20240129,free-from,False,7.9,7.4,8.0
Sains,12.8,kg,Jordans Frusli Juicy Red Berry Chewy Cereal Bars,20240129,food_cupboard,False,12.7,12.8,11.1
Sains,32.5,kg,Kenco Rich Instant Coffee,20240129,food_cupboard,False,30.0,30.0,31.2
Sains,0.25,unit,Soreen Malt Lunchbox Loaves,20240129,food_cupboard,False,0.25,0.25,4.325
Sains,7.0,kg,Bonne Maman Raspberry Conserve,20240129,food_cupboard,False,9.7,9.7,9.6
Sains,5.6000000000000005,kg,Heinz Seriously Good Light Mayonnaise,20240129,food_cupboard,False,4.4,4.9,4.9
Sains,7.23,kg,Betty Crocker Chocolate Fudge Brownie Mix,20240129,food_cupboard,False,7.2,7.2,7.23
Sains,14.7,kg,Bisto Vegetable Gravy Granules,20240129,food_cupboard,False,14.7,14.7,16.3
Sains,2.95,l,Monster Energy Zero Sugar,20240129,drinks,False,3.4,2.8,3.0
Sains,10.0,kg,Pip & Nut Smooth Peanut Butter,20240129,food_cupboard,False,6.3,6.7,10.3
Sains,28.7,kg,Urban Fruit Gently Baked Mango,20240129,food_cupboard,False,24.3,,29.0
Sains,7.4,kg,Ginsters Peppered Steak Slice,20240129,fresh_food,False,11.5,7.3,11.5
Sains,7.0,l,Naked Blue Machine Super Smoothie,20240129,drinks,False,2.7,5.3,5.3
Sains,29.9,kg,Peperami Firestick,20240129,free-from,False,22.5,27.5,30.0
Sains,35.0,kg,Kenco Smooth Instant Coffee,20240129,food_cupboard,False,30.0,30.0,31.2
Sains,2.25,l,Fanta Lemon,20240129,drinks,False,1.4,1.0,1.9333333333333336
Sains,33.835,l,Benylin Dry & Tickly Cough Syrup,20240129,health_products,False,,32.7,33.35
Sains,13.1,kg,Maille Wholegrain Mustard,20240129,food_cupboard,False,13.3,13.3,13.1
Sains,14.7,kg,Walkers Smoky Bacon Multipack Crisps,20240129,food_cupboard,False,13.3,14.7,13.0
