supermarket,unit_price,unit,names,date,category,own_brand,ASDA_price,Morrisons_price,Sains_price
Tesco,7.5,kg,Heinz Spaghetti Bolognese,20240129,baby_products,False,7.0,4.98,5.5
Tesco,2.05,l,Tango Orange Original Bottle,20240129,fresh_food,False,3.1,1.0,3.2
Tesco,7.1,l,Yakult Balance,20240129,fresh_food,False,7.1,5.6,7.2
Tesco,28.9,kg,Quaker Oat So Simple Original Porridge Pot,20240129,food_cupboard,False,28.7,28.7,28.9
Tesco,6.0,l,Robinsons Pressed Pear & Elderflower Fruit Cordial,20240129,drinks,False,6.0,6.0,5.0
Tesco,38.66666666666666,kg,Sudocrem Antiseptic Healing Cream,20240129,baby_products,False,18.8,30.0,33.4
Tesco,9.1,kg,Maynards Bassetts Wine Gums,20240129,food_cupboard,False,7.6,9.1,8.5
Tesco,7.15,kg,Loyd Grossman Tomato & Basil Pasta Sauce,20240129,food_cupboard,False,8.6,8.5,4.6
Tesco,4.0,kg,Vitalite Dairy Free Spread,20240129,fresh_food,False,3.4,3.0,4.0
Tesco,11.5,kg,Ginsters Chicken & Mushroom Slice,20240129,fresh_food,False,11.5,7.3,7.4
Tesco,2.5,l,Relentless Raspberry Zero Energy Drink,20240129,drinks,False,2.5,2.8,2.4
Tesco,7.1,kg,Morliny Frankfurters,20240129,food_cupboard,False,7.0,7.1,7.0
Tesco,10.0,kg,Deliciously Ella Nutty Granola,20240129,food_cupboard,False,7.9,7.6,7.6
Tesco,8.3,kg,Pukka Beef Pasty,20240129,fresh_food,False,8.3,8.3,5.9
Tesco,4.2,kg,Heinz Spring Vegetable Soup,20240129,food_cupboard,False,4.2,4.2,3.0
Tesco,7.5,kg,Heinz Spaghetti Bolognese,20240129,food_cupboard,False,7.0,4.98,5.5
Tesco,50.0,kg,Properchips Barbecue Lentil Chips,20240129,food_cupboard,False,27.1,23.5,21.5
Tesco,0.97,kg,Elephant Atta Medium Chapatti Flour,20240129,food_cupboard,False,1.33,0.7,0.7
Tesco,31.67,kg,Squeaky Bean Spanish Chorizo Style Slices,20240129,fresh_food,False,31.67,27.78,33.33
Tesco,9.6,kg,Bonne Maman Strawberry Conserve,20240129,food_cupboard,False,9.2,20.0,7.0
Tesco,6.7,kg,Aunt Bessie's Jam Roly Poly,20240129,frozen,False,6.3,8.3,6.7
Tesco,6.25,l,Blue Dragon Coconut Milk,20240129,food_cupboard,False,6.2,6.2,4.4
Tesco,116.67,kg,Kiddylicious Banana & Pumpkin Melty Buttons,20240129,baby_products,False,73.3,73.3,88.3
Tesco,9.6,l,Bombay Sapphire Gin & Tonic,20240129,drinks,False,10.0,10.0,9.2
Tesco,5.88,kg,Quorn Vegetarian Chicken & Leek Family Pie,20240129,frozen,False,5.88,5.15,5.88
Tesco,21.33,l,Oust All Purpose Descaler,20240129,household,False,21.33,22.67,22.0
Tesco,4.7,kg,Lee Kum Kee Panda Oyster Sauce,20240129,food_cupboard,False,4.7,4.7,4.7
Tesco,9.9,kg,Whole Earth Smooth Peanut Butter,20240129,food_cupboard,False,9.7,6.79,5.5
