supermarket,product,unit_price,year,month,day,weekday,total_sale
ASDA,Heinz Broccoli & Stilton Soup,4.2,2024,1,29,0,1
ASDA,Heinz Spaghetti Hoops in Tomato Sauce,4.39,2024,1,29,0,1
ASDA,Pringles Smokey Bacon Sharing Crisps,12.2,2024,1,29,0,1
ASDA,Maynards Bassetts Wine Gums,7.6,2024,1,29,0,1
ASDA,Yeo Valley Organic Salted Butter,11.0,2024,1,29,0,1
ASDA,Maltesers Cake Bars,0.4,2024,1,29,0,1
ASDA,Prymat Chicken Seasoning,13.0,2024,1,29,0,1
ASDA,Heinz Spicy Parsnip Soup,4.2,2024,1,29,0,1
ASDA,Bisto Best Beef Gravy Granules,13.0,2024,1,29,0,1
ASDA,Maynards Bassetts Jelly Babies,7.6,2024,1,29,0,1
ASDA,Cherry Blossom Shoe Polish Black,43.75,2024,1,29,0,1
ASDA,Bisto Best Lamb Gravy Granules,13.0,2024,1,29,0,1
ASDA,Cadbury Dairy Milk Caramel Chocolate Bar,11.1,2024,1,29,0,1
ASDA,Kenco Gold Indulgence Instant Coffee,31.6,2024,1,29,0,1
ASDA,Whole Earth Crunchy Peanut Butter,5.5,2024,1,29,0,1
ASDA,Kikkoman Tamari Gluten Free Soy Sauce,11.0,2024,1,29,0,1
ASDA,Yutaka Japanese Rice Vinegar,14.0,2024,1,29,0,1
ASDA,Blue Dragon Thai Green Curry Paste,13.5,2024,1,29,0,1
ASDA,Bonne Maman Strawberry Conserve,9.2,2024,1,29,0,1
ASDA,Shaken Udder Vanillalicious Milkshake,3.3,2024,1,29,0,1
ASDA,Nescafe Azera Americano Instant Coffee,38.9,2024,1,29,0,1
ASDA,Walkers Meaty Variety Multipack Crisps,10.5,2024,1,29,0,1
ASDA,Bundaberg Ginger Beer,3.2,2024,1,29,0,1
ASDA,Bakers Meaty Meals Adult Dry Dog Food Beef,2.87,2024,1,29,0,1
ASDA,Blue Dragon Thai Red Curry Paste,13.5,2024,1,29,0,1
ASDA,Innocent Tropical Juice,2.2,2024,1,29,0,1
ASDA,Bonne Maman Raspberry Conserve,9.7,2024,1,29,0,1
ASDA,Jimmy's Iced Coffee Original,7.3,2024,1,29,0,1
ASDA,Black Sheep Ale,3.8,2024,1,29,0,1
ASDA,Felix Goody Bag Cat Treats Mixed Grill,20.0,2024,1,29,0,1
ASDA,Bakers Meaty Meals Adult Small Dry Dog Food Beef,4.08,2024,1,29,0,1
ASDA,Bonne Maman Black Cherry Conserve,9.7,2024,1,29,0,1
ASDA,Quaker Oat So Simple Golden Syrup Porridge Pot,22.6,2024,1,29,0,1
ASDA,Nizoral Anti-Dandruff Shampoo,116.7,2024,1,29,0,1
ASDA,Bottlegreen Elderflower Cordial,8.0,2024,1,29,0,1
ASDA,Bonne Maman Wild Blueberry Conserve,9.7,2024,1,29,0,1
ASDA,Schar Gluten Free Jaffa Cakes,9.3,2024,1,29,0,1
ASDA,Betty Crocker Vanilla Buttercream Style Icing,7.5,2024,1,29,0,1
ASDA,Bonne Maman Apricot Conserve,9.2,2024,1,29,0,1
ASDA,Naked Blue Machine Super Smoothie,2.7,2024,1,28,6,1
ASDA,Red Bull Energy Drink,4.3,2024,1,28,6,2
ASDA,Shaken Udder Chocolush Milkshake,3.3,2024,1,28,6,1
ASDA,Fanta Orange Zero,3.4,2024,1,28,6,1
ASDA,Walkers Meaty Variety Multipack Crisps,10.5,2024,1,28,6,1
ASDA,Bonne Maman Strawberry Conserve,9.2,2024,1,28,6,1
ASDA,Whole Earth Crunchy Peanut Butter,9.7,2024,1,28,6,1
ASDA,Shaken Udder Vanillalicious Milkshake,3.3,2024,1,28,6,1
ASDA,Filippo Berio Extra Virgin Olive Oil,17.0,2024,1,28,6,1
ASDA,Yutaka Japanese Rice Vinegar,14.0,2024,1,28,6,1
ASDA,Kikkoman Tamari Gluten Free Soy Sauce,11.0,2024,1,28,6,1
ASDA,Sudocrem Antiseptic Healing Cream,18.8,2024,1,28,6,1
ASDA,Innocent Apple Juice,2.2,2024,1,28,6,1
ASDA,Blue Dragon Thai Green Curry Paste,13.5,2024,1,28,6,1
ASDA,Tilda Pure Basmati Rice,2.8,2024,1,28,6,1
ASDA,Bundaberg Ginger Beer,3.2,2024,1,28,6,1
ASDA,Bakers Meaty Meals Adult Dry Dog Food Beef,2.87,2024,1,28,6,1
ASDA,Tropicana Pure Orange & Mango Fruit Juice,2.3,2024,1,28,6,1
ASDA,Lea & Perrins Worcestershire Sauce,9.5,2024,1,28,6,1
ASDA,Saint Agur Blue Cheese,20.0,2024,1,28,6,1
ASDA,Blue Dragon Thai Red Curry Paste,13.5,2024,1,28,6,1
ASDA,Cherry Blossom Shoe Care Brush Set,4.5,2024,1,28,6,1
ASDA,Urban Fruit Gently Baked Mango,26.0,2024,1,28,6,1
ASDA,Betty Crocker Vanilla Buttercream Style Icing,7.5,2024,1,28,6,1
ASDA,Quorn Vegetarian Chicken & Leek Family Pie,5.88,2024,1,28,6,1
ASDA,Schweppes Lemonade,0.7,2024,1,28,6,1
ASDA,Bonne Maman Wild Blueberry Conserve,9.7,2024,1,28,6,1
